Date/Time,Word Count,en,ru
2019.01.16-21.19.13,394,0,394
2019.01.16-22.31.40,394,332,394
2019.01.17-13.47.04,395,330,395
2019.01.17-15.03.45,409,330,409
2019.01.17-15.04.47,395,330,395
2019.01.17-15.14.14,325,260,325
2019.01.17-15.17.01,325,264,325
2019.01.17-15.27.55,323,262,323
2019.01.17-15.33.10,321,236,321
2019.01.17-19.06.24,321,262,321
2019.01.17-19.15.17,321,263,321
2019.01.17-19.15.30,321,262,321
2019.01.17-19.16.58,321,263,321
2019.01.17-22.06.42,292,259,292
2019.01.17-22.10.23,258,258,258
2019.01.17-22.12.29,256,256,256
2019.01.29-21.13.52,257,253,257
2019.01.29-21.15.18,257,257,257
2019.03.13-20.40.32,267,125,267
2019.03.13-20.49.07,267,264,267
2019.03.15-19.41.19,644,259,644
2019.03.16-18.15.47,266,259,266
2019.03.16-22.00.38,268,257,268
2019.03.16-22.01.47,268,268,268
2019.03.17-10.27.21,283,205,283
2019.03.17-10.29.42,283,283,283
2019.03.17-23.14.09,295,280,295
2019.03.17-23.17.55,295,295,295
2019.03.19-14.04.21,282,282,282
2019.03.22-18.26.53,279,274,279
2019.03.22-18.27.53,279,279,279
